Date,Full Retreat and Summaries,Title of Event,#,Transcript or Writing,Title of Talk or Writing,Link,Broad Topics,Detailed Topics
2010-02-07,,Meditation on Emptiness,15,"""2010_0207 Love, Healing, and Emptiness.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/GZZJII-mRFqR4VQ0UPL06A/5vQAzINRtO9_w9kDO1RppuaEyHFQ9yz1qP4kkHHBdwnBHGPBsTer3bhVw32kIhpgIP0W8WtLKGV5qCDWq1ZCCthofB1HTMpQJG22jvcVJGeYQKh-6wkVjQXWhTjyIUQL/ff85k7_Wo72mUzVyfrcGAMRK1aWFBdaqd-zlDPGAhlg)""","Love, Healing, and Emptiness",https://dharmaseed.org/teacher/210/talk/9545/,emptiness/insight,"""emptiness/insight: fading, unfabricating"",metta,compassion,karma,emptiness/insight leads to more care and love,purification / stored psychological material"
2010-02-12,,Meditation on Emptiness,16,2010_0212 No Mind.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/6iW420Gcma30nMG-TPliHg/DPINfCP6QsJX7vzqluPPZqodGJIiNZN9UM5lV9I_xrURZTldMhpDBIA2W3BfXlWguy5vetFUqnA1wsa_hoRC-5wPubBMHvPIL7zY_hNpbhI/CQYx9ELQkkx4CwOs2E_n_VjMpgKSDKQ3w1xTO1g1aYg),No Mind,https://dharmaseed.org/teacher/210/talk/9547/,emptiness/insight,"emptiness/insight: the nature of mind or awareness,""emptiness: dependence on mind, mind's dependence"""
2010-02-13,,Meditation on Emptiness,17,2010_0213 The Subtlety of Dependent Origination.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/uPMdXjwjCKBT0IapYavmTg/WycWe85OdPRb3qMOXj6DLD1omh9GuO5yw5rMMWA_fP57x8QrDurDk7M4W5dCtn33b4FoMT0HnT6xQGDEtjHCJiUTE4bcLQ9Kj_Pz_cgMonDsiAa8aJDp1YvQfPJ8pMTNInaE-Mjga1b0cDZmh8Ainw/R8pn5JcgW2d1F2sE-TcrGZ_uHbi0r2V4swLUbl_T-_w),The Subtlety of Dependent Origination,https://dharmaseed.org/teacher/210/talk/9553/,emptiness/insight,"Practice: Neither one nor many,""emptiness/insight: fading, unfabricating"""
2010-02-14,,Meditation on Emptiness,18,2010_0214 Dependent Cessation and the Unconditioned.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/QDXeWYXSQnta_UJcuRXI_g/_yG3Hl-eGs6Ce5rhjsM9DRnZctBoXMgU8GKW70Wg2KHjSWQym7OjEtNo3TAxymuFskgWRYCpdlWcUHsHbodjUy9EIeZgkTi8bWX0z-f9ybvOT1T2CQI1ILGa3C_WPX6Dt-rscwYXOEQ_VZmcL1HwBg/KJnnEEb1J8aoCVaGoJCjivwb5t_lzb-ilL8u9o82G34),Dependent Cessation and the Unconditioned,https://dharmaseed.org/teacher/210/talk/9541/,emptiness/insight,"the Unfabricated,""emptiness/insight: dependent arising, mutual dependence"",""emptiness/insight: fading, unfabricating"""
2010-02-15,,Meditation on Emptiness,19,2010_0215 The Union of Appearance and Emptiness.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/bSZJSuu42GObE5DlBWfb2Q/DhHoaV1kTVbSz0EQUOm2zkfGDua6U5cvb1UaAxF4mzSepw4wtUR-eb3_Y0oyq_gQuMl3YOn0RcefjVHQ5WPqrMjWQP_3OUykV5lYDw7jwkAXPgSEI_NZZTqzRb2msI0AJzGiOtdZ2UF_p2sKbsNZXw/UhYKU70KnhdMEA8iLUSYvydRIEy2I49fcQO4g5EhNN0),The Union of Appearance and Emptiness,https://dharmaseed.org/teacher/210/talk/9554/,emptiness/insight,"""emptiness/insight: fading, unfabricating"",Middle Way of emptiness,karma,awakening: emptiness / non-duality of nirvana and samsara,emptiness/insight: relationship of conventional reality with emptiness,the Unfabricated"
2010-03-06,2010_0306 Cambridge Day Retreats - Liberation from the Inner Critic.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/CcJ6G1bR6fArRPHwuQA-BA/gcVIEGx0WjfSmwd9GwLNJ-ko_qBTZXrwZ2CJietN2nDLyFz6M3I2jLLyAolXK_FLpGQhy-uV_ucwsY-H9xSgQV7NHdLRw2ubwgstoTVaGYwiHBzkcsYphPgR6G8AhE21FbphUSRaPpRk2HPXbHMNiVQJU2GF2_CWSLpiKZoFCtY/cXamU4HfG-FcjoSvX_hUlqVp8PYTW8gFJkhbxyuNy50),Cambridge Day Retreats,1,2010_0306 Liberation from the Inner Critic - Opening Talk.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/ChTZp15R3giEK-tfxyTIng/V_NFjc9dBvNLooWocxG4oKCIXz43f8BuZ2Zjk2gV9XV6qKEGfNkbLdVXTYXfeVMwRDX0Rmg6Z_t81f-ZtpDNOykMGoEXRbmXbRYgNUNCUc8QowwG2ZJVeXGP-9uWEBsm8cww5rqlc-bOWVWo0DBaJw/OTuZeMP8m6TiI9hFG0v8XOlXlx4sWVXr1H_NBVQLRL4),Liberation from the Inner Critic - Opening Talk,https://drive.google.com/file/d/1hvvkLfSAJzo-s7LOyYBh0RB8quPqVF39/view?usp=sharing,emptiness/insight,"judgment/inner critic,personality level - working with reified self,inquiring,metta"
2010-03-06,,Cambridge Day Retreats,2,2010_0306 Liberation from the Inner Critic - Dharma Talk.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/FAnvqPYF7b-8xIIhB8PjMg/E-bENOnuzVs7wpFRsClpPW4PX-MA_YwxUkN8b6DdJFqaRqwAv4N1yqHwXqZWvcTUts1n4_dgjHg3sk4R5ZIQw1li-XngdUwL2sXpl3s17vGsaKdN5y-l9ZJagfjYMEhd3UIV9XTR4RxpuUuUCoZsvg/EesDD_1avqp4omUIXoL44Dc0Mp3L48N48ekbMbasmW4),Liberation from the Inner Critic - Dharma Talk,https://drive.google.com/file/d/1EsBxPUfY9YysRHzQoGBhHKAqJGnHbuDv/view?usp=sharing,emptiness/insight,"judgment/inner critic,personality level - working with reified self,metta,metta: retraining the habits of mind,mindfulness,inquiring,desire: inquiring into deeper desires,Practice: spacious or vast awareness"
2010-04-01,,Assorted Writings,1,"""2010_0401 Gaia House Newsletter Spring 2010 article - Giving Voice to Compassion, pg 4.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/fGTmic3bzcbouTN_EG5YQg/HIACGXkxZ0ZLampNNasVB-8fBMDI8ZKi_C8aLIhA3lJjsT0D6mvciyE4MPX1eK8O7GmnzrCFSjWILVIABQJ-0AiItI4lEGgwslUr0GYkB1iNQIwFtiSP7UHLCPiYHEkfaodGwsbGihsxz8pSLeMaI9eLP5U_K6YfhuxqNfTVqdmAeDLMhkIHeA_Rp_T7nFpb/fUVwwrZKACU1HO39VQHaz6nGDlRcY7XOGu_P1zNNNfI)"",2010_0401 Gaia House Newsletter Spring 2010 article - Giving Voice to Compassion - original.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/2H5kiDtrPGrgARNgnq50Gg/-_aMg-094ylLnuRY6k2Gw71tMurQinCoJ7y1ejCzsnprMQj7GwuZE8KwcTxoID5HPT0RqUgCVUWj9hmlK1MYpzqPV_1UYTTxnsFfcv3xHN5FGBKXi3NGCcWhRkpPSAVrsi8CL1PR3NqVTPtCh7A_0pN4QTQ6w_-0muY_Zcii-v7zH2VbcXEy6V_-oxccLYoT/vFZoE0KKi6bbKnH--b0lyZupWrwc_xlhitG7FtgyHp0)",Article: Giving Voice to Compassion,https://gaiahouse.co.uk/wp-content/uploads/newsletter-spring-2010.pdf,brahmaviharas,"compassion,ethics/engagement"
2010-08-06,2010_0806 The Lovingkindness (Metta) Retreat.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/zU2Af_ogf5cEF_IqqETxtA/n12x5yaEN5CQwBNzgiRnktH6BaaWL10wYY2NI0YwRz2nONEeJ0K9fHpwYMWZXbgx4U0bigpNIVS_KJIf2Ay40ckSMxqexVuxLQ4hphcRN-xfXevOIp9zjcs3_8kK29ANcYgod0NrmOcKzVFAaQ3AmQ/1Nv-XDvTGkWDVZDWu64S87zUPwgXKEywzKLZ20CLnx4),The Lovingkindness (Metta) Retreat,1,2010_0806 About Metta Practice.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/ubWoCp8i1HQdlOo3DLi-oQ/Yqu4zV43aVtTppbDoof16oTZN65nQnl_rEToaodSX13qnlvhWO2HLfqzz8E2LW_Smbgt51OajINsg-a7lYso_Y-gDxeEaYwj7pIRzpTOuLakGWEsAJPVxVaRkumGgBvF/W1a4PgjdKxn9YAmF5gyt5sxXpfnPsfWvshFqa-wI-Wk),About Metta Practice,https://dharmaseed.org/teacher/210/talk/9988/,brahmaviharas,"metta,intro/overview,insight and cultivation (aspects or wings of the path),Buddha-nature,kilesas,guided reflections,guided meditation on metta,bodhicitta"
2010-08-07,,The Lovingkindness (Metta) Retreat,2,2010_0807 Metta Instructions and Guided Meditation 1.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/nc6NZjQVIfKQq6lsILU-tA/xC__g0RrhEpX2HBRuUiO87WepVlgp9IIe1oIMk8Px3acxJumyWB262u_geeHez_srAzsVlA6QHA0H1pKdGOa6pgWO2AdL5f5_P2FxUDKF_Vtj8NQaWLb_RIA_ezeG0n9KGMDfk_Og9gg1WIZ2yBcYA/Sf3G1LtbVpaEMNA8zugMqOnybXPo0gFS3hImVilPgQ4),Metta Instructions and Guided Meditation 1,https://dharmaseed.org/teacher/210/talk/9983/,brahmaviharas,"metta,metta to self,metta to easiest person / benefactor,metta: working with phrases,metta: ways of practicing without phrases,guided meditation on metta,metta: practicing with the body,walking meditation"
2010-08-08,,The Lovingkindness (Metta) Retreat,3,2010_0808 Metta Instructions and Guided Meditation 2.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/ttFGPuJ_d7rsXKAjFoDASw/wXtZRDxOcQpY4mphZB9l8R9GowQtoEy9Yiqg_KY-i5Lnp-JRkBvpQQqtOPwlXe7JTuMCju2j1TuFpCPpkyrgYhsq9F2zo5xYuH5ESsclvkaP-tan3zEp0H3kMKZefORZ8KdbRr16fo5M46iRbxcFwQ/-9xGqRMeKFmOqUhBU1RjkJ4ZwK9zU-z0950veBfZrys),Metta Instructions and Guided Meditation 2,https://dharmaseed.org/teacher/210/talk/9984/,brahmaviharas,"metta,metta: navigating (sailing) practice when smooth or difficult,metta: working with phrases,metta to friend,guided meditation on metta"
2010-08-08,,The Lovingkindness (Metta) Retreat,4,2010_0808 Heart Work.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/MOBYpvCpo0Gbb7HLP0lD2w/JBWX13qUqgLdOol7W46B01oFdwLEfH2aJe4NFdEQlj6ZPEcF0NBuyj14Fvofz4k3q_c8ypgyIgUL6AerOEpqp-yc7aSiShERm9dL-S2pNXk/1VLau9ep3Mcriz4g9e3mS3QUJKvVqdYhKPde-ye0eqo),Heart Work,https://dharmaseed.org/teacher/210/talk/9982/,brahmaviharas,"metta,metta: navigating (sailing) practice when smooth or difficult,working with difficult emotions / sensations / energies,emotions,""metaphors: water, liquid"",""emotions, skill with"",practice as kindness,wonder,metta: practicing with the body,metta: ways of practicing without phrases"
2010-08-09,,The Lovingkindness (Metta) Retreat,5,2010_0809 Metta Instructions and Guided Meditation 3.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/ioFbVKNh9DSG0PNrBiBOTQ/_hY7Bnqr3QRuvnm0ev4P0NH5Vy75HVqjZTzPIStbrnABttjZ64-9A8tA5fCICN8JiUtDQM6dhzoJ-j2lt54edQlIoKWdVgu1sn_cb-H6U5efPdg9yAzkeG2E0qmzR388Ix0qW4LKb6jvY3YzYOw1-A/vijv5SlkWOLLroPAqirIJX-xtkoOexJBirNfWnXy9aw),Metta Instructions and Guided Meditation 3,https://dharmaseed.org/teacher/210/talk/9985/,brahmaviharas,"metta,metta: difficulty receiving love,metta to neutral person,""sexual energy, working with"",guided meditation on metta"
2010-08-09,,The Lovingkindness (Metta) Retreat,6,2010_0809 Metta Instructions and Guided Meditation 4.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/7yZ16wEJHLNyXJWf8vvhPw/1C6OgAPoXaOSrvfbFQk9Hx2VWl504YZQYPIz74AdOaYPtQL0wX4b4-Jft_W6gyYZbCtKUMtttxkEsH70DoW6qjVpAWGw1JZftcjpdYClnPjvcbAkgfRgOsUobOLuYiFM8VdRsjmgwwzVGAISH7F91Q/0X668dTMBoIU9a8P2NnVaBTwivRO4Ip4ARVfDYcXVWc),Metta Instructions and Guided Meditation 4,https://dharmaseed.org/teacher/210/talk/9986/,brahmaviharas,"metta,metta to difficult person,guided meditation on metta"
2010-08-10,,The Lovingkindness (Metta) Retreat,7,2010_0810 Metta Instructions and Guided Meditation 5.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/qtkBabZlTDy6np4mBwLglg/i7hoIZWdlHF0USyB1ZbXFxKAYtw2UJPxn3pgcwM2V2ML_lTH6TWMVPGYgQHnGCFF5gD6C24MkjevHl-nO6VT2F_Gh-YRDGmicFkIqnTSAb6OGzctb7n2o2Nn_VobXxfSKyPItZMQlF5a60cn8vXsDg/YMKvHIfKLBtUV5RuOIIyebOgatO36SF6qfVuNta9eoY),Metta Instructions and Guided Meditation 5,https://dharmaseed.org/teacher/210/talk/9987/,brahmaviharas,"metta,metta to all beings,guided meditation on metta,""subtlety, subtlizing of attention and experience"",metta: practicing with the body,working with difficult emotions / sensations / energies"
2010-08-10,,The Lovingkindness (Metta) Retreat,8,2010_0810 Selflessness and a Life of Love.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/WegW46qvC9nTBmNi-DmV_A/mal-f82Kgw3sJV7ASufv9utittMwt8_j9HVawehur80LYTNrpk_UhESk4Num4I_RzDeVft1BgNPsebtShsa1VL7klldaEVE8uraF3JULJ41awA06Tyf5IzaLv9doQd0D/XlByUbHDS9L3F_HR54WVZttQY_CDd4_ao5i6Ehq1hqw),Selflessness and a Life of Love,https://dharmaseed.org/teacher/210/talk/9989/,"brahmaviharas,emptiness/insight","metta,Practice: exchanging the happiness of self and other,bodhicitta,ethics/engagement,""communication, skill with"",malleability of perception,emptiness/insight: nothing independent of the way of looking,mystical openings and experiences,emotions / mind states: feedback loops,seeing as perfect"
2010-11-06,2010_1106 November Solitary Retreat.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/ctmBLiW232EH9ARXmz44Wg/kHE5dNeRzpqo7_Pliyt8veMA8YHLXJp5kXG4dUqwWNjz5sz7m8T_FZK6_9znBY7yyecnxpDEBGiHyl3mdJCzKxXm1IuD1mV4k5idlsKNFKWD_dVGmaB2Yujs8687W7DZ/7boUQQeZAlZJ4m5RQ-JTzMkYOdMFic7N--t_SLxTXkc),November Solitary,1,2010_1106 The Mystery of Vedana - A Key to Liberation.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/IAIWuQX2uGH33umd8rq4Nw/Lv23BGTMuuT6N1mK75LrD4bn5XDl3bwsLnAE4qPOKT6ef7WOdQIgmWGm5CS3F2gEIvIUwUOXG_e3TiDZTXWIbinvulpBsMj2AABd3S0UQJsj9l2_s_NJgk6ypwyV59WvCJtKYaSSoBh1i-kjRFD0vA/e-AgU0mnpxjutOopjyAPgzvbDtAdAFYWp2FkjZBaeho),The Mystery of Vedana: A Key to Liberation,https://dharmaseed.org/teacher/210/talk/11502/,emptiness/insight,"inquiring,mindfulness,awakening: inquiring into freedom at root or branch levels,""mindfulness, foundations of: second foundation (vedana)"",clinging / craving: noticing and working with in body,clinging / craving: practical approaches,sensitivity,impermanence (anicca),Practice: welcoming/allowing,""emptiness/insight: fading, unfabricating"",modern physics / quantum physics"
2010-11-12,,November Solitary,2,2010_1112 The Psychodynamics in Meditation Part 1.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/rZ7lrLpIuD4Wk19vu1B7CA/LKFdzSjHVgeSJgrqhoLPVffOKDhU7o89EJBZLEbeWNuIeq2DyrYM-CoZSsAdlcKyAshkMzTTu4OsebMCaFXs8ynemwgFKrUIKX7Onn8HCPw8_bDd0dppKmE7H4qsexoXfwXyU7LGWZH65VsLnbVmCA/143SpirFQmxUHvxY0aIZYALmBH79KVY2SkfyNv1J-TQ),The Psychodynamics in Meditation (Part 1),https://dharmaseed.org/teacher/210/talk/11503/,other topics,"personality level - working with reified self,emotions,""emotions: increase energy in attention, decrease in emotion"",emotions / mind states: differentiation,emotions / mind states: developing capacity to feel in body,sensitivity,Practice: noticing assumptions,inquiring,""emotions / mind states: sadness, depression"",blessing,""self-views, noticing and practicing with"""
2010-11-20,,November Solitary,3,2010_1120 The Psychodynamics in Meditation Part 2.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/0OLF8zhewFb9WIH_OgKZiQ/eMuZE0FJw_Xb8JELSx0UwDBGBlA2vx0qKJ1-tnVczZl-fPGSHNLEU30P50Msy8M1cY3Kcxzs-I6_EG5UQBfZjrtwh_AFzWmgWjL7UuQahJsIX0ZBMkAj3_Ox0i6FM011cVsGaeNx1JQj2YKuUteHyQ/weJeQaVpo9Iv6kh5MePpDSE_Sec-Xp4zJ6bvHhr3YDg),The Psychodynamics in Meditation (Part 2),https://dharmaseed.org/teacher/210/talk/11505/,other topics,"personality level - working with reified self,emotions,""emotions: increase energy in attention, decrease in emotion"",""self-views, noticing and practicing with"",inquiring,judgment/inner critic,""emotions / mind states, resourcing and cultivating skillful"",noticing/inhabiting power and strength,images: non-soulmaking uses of images,Jung: active imagination,images: dialogue in images,resourcing and healing through story"
2010-11-26,,November Solitary,4,2010_1126 The Psychodynamics in Meditation Part 3 - Dimensions of the Personal Journey.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/tOk10LzIynHVlypEzObVDQ/WbyKrBXivqy6x8RaJLM6iUyanvaI5cR81mWmtaOlhqain-4N4lztW3vYyhuH7OV3aR6KCbOtjz9t8NNXG1ISJvjEMGpDjW-3T4xDMQiHUlCqSidAgBuYEkrmCXqIKg-0gW9XHt0Q2QF0llVi5wkBsJhZ3pqVEGukQ9FVNyGqZfc1q74XZs8gJzstbH_O60W-/cDaghPcsm_b4p74f6BqtomcM0h26rs4MPvWSRged_Hs),The Psychodynamics in Meditation (Part 3 - Dimensions of the Personal Journey),https://dharmaseed.org/teacher/210/talk/11504/,other topics,"personality level - working with reified self,emotions,""mindfulness, foundations of: second foundation (vedana)"",mindfulness,seeing as perfect,Four Noble Truths,""avijja (ignorance, fundamental delusion)"",not-self (anatta),""self-views, noticing and practicing with"",emptiness/insight: picking up and putting down emptiness,sexuality/romantic relationships,critique: view of aggregates/everything as a process,desire/eros,Practice: Opening to the current of desire,kilesas"
2010-12-04,2010_1204 Ending the Inner Critic.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/PMoRsdDp-cZrlmQa2pUmig/gay1mfVI5hWvsh3c4EkJLJLj6Py9Xid69q8PcRoIeluHADtC9UBMCNTPcc2cuCE60hZ3IOO_i2gbeZf5DApDz6zaqDnPTYhxP2zvLEr2j8eNNUVwww6dvZ_esIARfkWK/G-xhjX6V33eiEETCi4hCgCNoQ_6W8wrv6zxcBvwbjHM),"Day Retreat, London Insight",1,2010_1204 Ending the Inner Critic Part 1.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/7Wozx2rO53IqDRhonYB_Ig/vG_I1pJaLo-wD2gj7GVL1GDWJsSLdwUSoe5HbIHCVisUdC2tqyHa0BgNtVpkVKLCL9u_AM_snOy6QPB5wBaXLsHIr4fygrEVjYfjVaqDeqQPP4NvTThmGAyskim-jaCJ/jpg_HCAmpby_X3ml_NRmgo8YctPiNniOkDJX8vsqAxs),Ending the Inner Critic (1),https://dharmaseed.org/teacher/210/talk/35159/,other topics,"personality level - working with reified self,judgment/inner critic,metta,mindfulness,inquiring"
2010-12-04,,"Day Retreat, London Insight",2,2010_1204 Ending the Inner Critic Part 2.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/i1z7lJKtBsiLQjwRU7LgIA/vDKhjQTPVltMfuSQ9u5vc0kJ36Yx9CNkfSeWb5RtE4t9GhUmaHuKItwSU10_CQVkqY1ojKD1d5Hpo7xWKwbQQBIn6X3qqImPpRAkruRoN6LAneZjw-PtLnd9-OD4dBzd/S2lz1NsVNblvRCQBWDDs4ssetvnxDY48PRkRffeuj2E),Ending the Inner Critic (2),https://dharmaseed.org/teacher/210/talk/35161/,other topics,"mindfulness,inquiring,personality level - working with reified self,judgment/inner critic,noticing/inhabiting power and strength"
2010-12-04,,"Day Retreat, London Insight",3,2010_1204 Ending the Inner Critic Part 3.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/vYeGjyEG8adAjCZnScdljg/TiedlcWqSY0vkB_PwbAXgPBjKwAlPwKyXT4GXpryY_CuP4TEWfsq-SkJi3FaVEiWs0cTUUz2PdObdW7uuH1Rlj-OF7_1SsWSlL5Cp0VOKNtbIoBZptgohz4ztcb5sekT/I74zyRx8oFL_WThlOiOXXcun6b7mTqXCDXk5FQLPImg),Ending the Inner Critic (3),https://dharmaseed.org/teacher/210/talk/35160/,other topics,"mindfulness,inquiring,personality level - working with reified self,judgment/inner critic,Practice: reflecting on positive qualities,desire: inquiring into deeper desires,Practice: spacious or vast awareness"
2010-12-30,2010_1230 New Year Retreat.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/exB_1MN-Xm9A1YwiBfQkJQ/X_fHyw7PYRI4Jm8XrAjz_Hhlx7UKw1zIFAcJOtKD9VRUdiZKHqFpD1SQexSlpG9kSVIdbQdwbMmL6bC-A-bYCzBHLmSrMCrIngF0fK4C0hYiFPOhIb-nZYdLRikIleuo/e5ovQj9cotbjRKlTQoFY212glSTFuMWgrXGu9A0PjXA),New Year Retreat,1,2010_1230 Metta Instructions and Guided Meditation - Metta for Friend and Benefactor.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/C3pQCzRrWKLJviaaDzfX3g/jMh_M3cZ-CjgyKowXxsygGAqNbtMizGslnQat0NQnLOPxoWArOzhb5L_-xGS66uyxRpaU8trzkTSd9yI4WRDgtCwRMlyDa3cwaIH0YsUrbMaXLZ-mKgqHLIclI7D0pdIdMeQCKkasoZswovLppQSNVQ1GEkozE7TPWYZrDi5sabysyfyYQC0am19pANzUKtv/2kLUqpsHHfoijhttwFXybMIl9BSaXJCY0a2yWAqFdXw),Metta Instructions and Guided Meditation (Metta for Friend and Benefactor),https://drive.google.com/file/d/1aJU-vIqx35TbyPUwVkuzBlimoH1GH84F/view?usp=sharing,brahmaviharas,"metta,metta: working with categories,metta to friend,metta to easiest person / benefactor,guided meditation on metta"
2010-12-31,,New Year Retreat,2,2010_1231 Liberation and the Self - A Guided Inquiry.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/IQs3o_Je8KgMZ62kyes17A/0VCHdrVB2XUTjOVYqO-uR5K8RpFlMX_ISMpl9cThNjjknw9bTBEqMvZokRQBe5ickrlTzrx6yIvCdiunK9QPqXIITI7vngqJqUoEXpVZ2zj8mBDUOmlG8DF_kZWt8JVtS-y82K9j106imYynMp8Rzw/jOQJlTUUPHtnqrI6fpgFW9dfCr2L4nlFR8wRYrOXmn4),Liberation and the Self - A Guided Inquiry,https://dharmaseed.org/teacher/210/talk/11968/,other topics,"inquiring,awakening,concepts/logos,concepts/logos: possible meditations on ideas"
2011-01-01,,New Year Retreat,3,2011_0101 Instructions on the Mindfulness of Thought.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/lJpdX8AsPBgvMjbkseLqWA/KdJhYUBSRG6vIG7SJWGfrlPmfLldMkPnD5yhN1wOHP5C6YVjpoDynwu1VFzt86j6SgMRLXY_Sj9sQApvaiiK21AX18zqDGuNlhOmbMUwVVMJe3keuz5NU5U5fwtYTR-sPwXaB54yhmvKWNjqFf0NSA/kw4X0RJJa39pX3kI0qrSKJFGlc-mufVohUrOsh1Ps0g),Instructions on the Mindfulness of Thought,https://dharmaseed.org/teacher/210/talk/11967/,emptiness/insight,"mindfulness,""mindfulness, foundations of: third foundation (citta)"",working with thought in practice,labeling in practice,Practice: spacious or vast awareness"
2011-02-05,2011_0205 Metta and Emptiness Level 1.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/b28quOplV-8b9CU1egzWBQ/ReKn0JoObj7F-ROeTlWI9mA3MPFRJn44Po-VwkllB-PROdaYEdcOHErdblcIwlcAcZZa3a0kbb1hkHLqBybq3O8nlUFA2xmJiQ9juD9kqA4LJJjWhqT98eaLEkZ9NR-z/j9HG10Zec0Dd7cg_HFCNyrUw1eRfz94yYncrsIcFt8k),Metta and Emptiness (Level 1),1,2011_0205 Opening Talk for Metta and Emptiness Level 1 - Being on Retreat.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/lgHtnbx6KEDm5pW6HKf5ng/LVd8JmW93SWaYOPcqxKck3ydsTJAn8baBHoaiNCoCd8sRaObtzCJUmOmOZmxzjSyRm8TqyO8S5w_CpaBjvpaNYWBZFrkR7mP3xsa6HzXeNtteiPyBcmu_E-II3v3Bn5zlXUNrYkuwEKR02H444hXNBr0LoPRbX6SjefP4LJdDzA/hkkJI9gF7ghsYoATOnRQ2V8KPkqlQNYS2VIIwAx3PTo),Opening Talk for Metta and Emptiness (Level 1): Being on Retreat,https://dharmaseed.org/teacher/210/talk/12523/,"brahmaviharas,emptiness/insight","metta,insight and cultivation (aspects or wings of the path),guided energy body meditation,practice as kindness"
2011-02-06,,Metta and Emptiness (Level 1),2,2011_0206 First Instructions and Guided Metta Meditation.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/1xaCxo_1j4MCwJyI7alDpA/Xro3y5hsRjdwgXmc8KYFjiKXvDsaSDZXUTE4pFRZqvlEZ5HQMhasCZkeUjl4WZx_8kj1lEzg4P0bcZZ9m_zqX0DTa19WHLzfxgPoPShvmEkpILyWZzKXSDf0m5eTZS3msnFiQgSoGbvupOWNrioPgw/eMeFm6QuRHC4OGfm-lMCS1tfikmvxParB_Nq9c6jGYg),First Instructions and Guided Metta Meditation,https://dharmaseed.org/teacher/210/talk/12516/,"brahmaviharas,emptiness/insight","metta,guided meditation on metta,metta to self,metta to easiest person / benefactor,metta: working with phrases,metta: ways of practicing without phrases,walking meditation"
2011-02-06,,Metta and Emptiness (Level 1),3,2011_0206 Freeing the Self.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/TS1KBe1DHRVooLAezy4IDQ/mVakxYzcmJt-qlCYgO3FddElc7yf6KPql_386-_PhpkJb6I0yhWTM-qUY29n1_NBiZlDif7gG2-cLO-xjkAG8vZ3gZ7SEZC9ZsxiNQPxbLRXZpUKR9-of8ZwbN_PT1lH/anndfBpc6jDf--ttK6kgoqzfgYnmEOIKIDmU2zGQ2sg),Freeing the Self,https://dharmaseed.org/teacher/210/talk/12521/,"brahmaviharas,emptiness/insight","metta,""self-views, noticing and practicing with"",personality level - working with reified self,working with subtle reification/self-identification,Four Noble Truths,critique: emptiness as disappointing or bleak,emptiness/insight: picking up and putting down emptiness"
